Post_ID,Post_DateTime,User,Post_Text,Content_Category,Hashtag,Likes,Comments,Shares
269,2026-08-24 06:00:00,user_14,Post about lifestyle and #Innovation,Lifestyle,#Innovation,2146,393.0,139.0
270,2026-08-25 11:30:00,user_08,Post about sports and #CloudComputing,Sports,#CloudComputing,918,313.0,137.0
271,2026-08-08 05:00:00,user_17,Post about entertainment and #DataScience,Entertainment,#DataScience,956,255.0,128.0
272,2026-08-22 13:40:00,user_22,Post about sports and #AI,Sports,#AI,256,273.0,132.0
273,2026-08-05 09:30:00,user_04,Post about lifestyle and #WebDevelopment,Lifestyle,#WebDevelopment,1101,106.0,38.0
274,2026-08-12 02:10:00,user_11,Post about education and #CyberSecurity,Education,#CyberSecurity,1747,322.0,73.0
275,2026-08-15 16:00:00,user_06,Post about technology and #AI,Technology,#AI,651,59.0,275.0
276,2026-08-21 12:00:00,user_21,Post about technology and #Career,Technology,#Career,2255,14.0,19.0
277,2026-08-14 09:30:00,user_03,Post about entertainment and #Tech,Entertainment,#Tech,1983,268.0,191.0
278,2026-08-03 04:10:00,user_30,Post about technology and #CyberSecurity,Technology,#CyberSecurity,444,,15.0
279,2026-08-15 12:30:00,user_19,Post about technology and #Python,Technology,#Python,384,257.0,261.0
280,2026-08-15 09:10:00,user_07,Post about education and #DataScience,Education,#DataScience,292,243.0,63.0
281,2026-08-25 23:30:00,user_12,Post about lifestyle and #DataScience,Lifestyle,#DataScience,1935,419.0,46.0
282,2026-08-01 23:20:00,user_10,Post about sports and #DataScience,Sports,#DataScience,1392,245.0,187.0
283,2026-08-22 23:00:00,user_13,Post about education and #WebDevelopment,Education,#WebDevelopment,1033,335.0,195.0
284,2026-08-05 20:10:00,user_17,Post about lifestyle and #Innovation,Lifestyle,#Innovation,2432,337.0,120.0
285,2026-08-24 02:20:00,user_25,Post about lifestyle and #AI,Lifestyle,#AI,2274,393.0,105.0
286,2026-08-07 16:30:00,user_22,Post about sports and #Tech,Sports,#Tech,2275,201.0,220.0
287,2026-08-23 20:20:00,user_02,Post about sports and #WebDevelopment,Sports,#WebDevelopment,2113,117.0,235.0
288,2026-08-09 12:00:00,user_16,Post about sports and #DataScience,Sports,#DataScience,1227,36.0,239.0
289,2026-08-17 09:10:00,user_19,Post about entertainment and #DataScience,Entertainment,#DataScience,1886,49.0,200.0
290,2026-08-13 10:20:00,user_13,Post about technology and #DataScience,Technology,#DataScience,1597,329.0,174.0
291,2026-08-01 03:50:00,user_01,Post about business and #WebDevelopment,Business,#WebDevelopment,520,102.0,284.0
292,2026-08-17 00:40:00,user_13,Post about technology and #Tech,Technology,#Tech,680,498.0,122.0
293,2026-08-15 02:40:00,user_27,Post about sports and #AI,Sports,#AI,1915,326.0,267.0
294,2026-08-10 11:40:00,user_26,Post about business and #Python,Business,#Python,446,216.0,94.0
295,2026-08-10 09:40:00,user_06,Post about lifestyle and #Python,Lifestyle,#Python,1472,337.0,105.0
296,2026-08-16 22:30:00,user_17,Post about entertainment and #Analytics,Entertainment,#Analytics,1929,254.0,285.0
297,2026-08-17 12:20:00,user_26,Post about technology and #Tech,Technology,#Tech,869,173.0,224.0
298,2026-08-24 21:10:00,user_08,Post about education and #Python,Education,#Python,1882,211.0,113.0
299,2026-08-15 05:30:00,user_06,Post about entertainment and #Python,Entertainment,#Python,839,485.0,231.0
300,2026-08-01 20:10:00,user_23,Post about technology and #WebDevelopment,Technology,#WebDevelopment,696,191.0,143.0
